title,description,category,starting_price,seller_id,duration_hours,image_url
Artisan Rug,A beautiful artisan rug in excellent condition. Category: Home & Garden. Perfect for collectors and enthusiasts.,Home & Garden,925.34,8,72,/static/images/default-item.jpg
Limited Stamp Collection,A beautiful limited stamp collection in excellent condition. Category: Collectibles. Perfect for collectors and enthusiasts.,Collectibles,788.41,8,72,/static/images/default-item.jpg
Custom Motorcycle,A beautiful custom motorcycle in excellent condition. Category: Vehicles. Perfect for collectors and enthusiasts.,Vehicles,112.72,2,48,/static/images/default-item.jpg
Vintage Watch,A beautiful vintage watch in excellent condition. Category: Fashion. Perfect for collectors and enthusiasts.,Fashion,925.19,10,168,/static/images/default-item.jpg
First Edition Encyclopedia,A beautiful first edition encyclopedia in excellent condition. Category: Books. Perfect for collectors and enthusiasts.,Books,3063.15,10,48,/static/images/default-item.jpg
Handcrafted Earrings,A beautiful handcrafted earrings in excellent condition. Category: Jewelry. Perfect for collectors and enthusiasts.,Jewelry,2966.15,3,72,/static/images/default-item.jpg
Vintage Brooch,A beautiful vintage brooch in excellent condition. Category: Jewelry. Perfect for collectors and enthusiasts.,Jewelry,2257.99,2,48,/static/images/default-item.jpg
Antique Atlas,A beautiful antique atlas in excellent condition. Category: Books. Perfect for collectors and enthusiasts.,Books,1933.23,10,72,/static/images/default-item.jpg
Contemporary Photograph,A beautiful contemporary photograph in excellent condition. Category: Art. Perfect for collectors and enthusiasts.,Art,2206.36,7,48,/static/images/default-item.jpg
Vintage Trophy,A beautiful vintage trophy in excellent condition. Category: Sports. Perfect for collectors and enthusiasts.,Sports,4547.51,4,12,/static/images/default-item.jpg
Championship Baseball,A beautiful championship baseball in excellent condition. Category: Sports. Perfect for collectors and enthusiasts.,Sports,2131.53,6,12,/static/images/default-item.jpg
Restored Porsche,A beautiful restored porsche in excellent condition. Category: Vehicles. Perfect for collectors and enthusiasts.,Vehicles,4848.23,10,48,/static/images/default-item.jpg
Signed Photograph,A beautiful signed photograph in excellent condition. Category: Art. Perfect for collectors and enthusiasts.,Art,2993.52,8,168,/static/images/default-item.jpg
Artisan Vase,A beautiful artisan vase in excellent condition. Category: Home & Garden. Perfect for collectors and enthusiasts.,Home & Garden,4806.25,5,72,/static/images/default-item.jpg
Abstract Drawing,A beautiful abstract drawing in excellent condition. Category: Art. Perfect for collectors and enthusiasts.,Art,2937.89,9,48,/static/images/default-item.jpg
First Edition Comic,A beautiful first edition comic in excellent condition. Category: Books. Perfect for collectors and enthusiasts.,Books,382.01,7,6,/static/images/default-item.jpg
Signed Helmet,A beautiful signed helmet in excellent condition. Category: Sports. Perfect for collectors and enthusiasts.,Sports,1474.51,3,6,/static/images/default-item.jpg
Vintage Trophy,A beautiful vintage trophy in excellent condition. Category: Sports. Perfect for collectors and enthusiasts.,Sports,3858.64,5,12,/static/images/default-item.jpg
Handmade Vase,A beautiful handmade vase in excellent condition. Category: Home & Garden. Perfect for collectors and enthusiasts.,Home & Garden,4575.65,9,48,/static/images/default-item.jpg
Original Drawing,A beautiful original drawing in excellent condition. Category: Art. Perfect for collectors and enthusiasts.,Art,3650.73,8,168,/static/images/default-item.jpg
14K Gold Bracelet,A beautiful 14k gold bracelet in excellent condition. Category: Jewelry. Perfect for collectors and enthusiasts.,Jewelry,606.78,3,6,/static/images/default-item.jpg
First Edition Action Figure,A beautiful first edition action figure in excellent condition. Category: Collectibles. Perfect for collectors and enthusiasts.,Collectibles,2618.44,10,12,/static/images/default-item.jpg
Vintage Ring,A beautiful vintage ring in excellent condition. Category: Jewelry. Perfect for collectors and enthusiasts.,Jewelry,1578.64,4,168,/static/images/default-item.jpg
Limited Medal,A beautiful limited medal in excellent condition. Category: Collectibles. Perfect for collectors and enthusiasts.,Collectibles,2703.81,4,72,/static/images/default-item.jpg
Vintage Lamp,A beautiful vintage lamp in excellent condition. Category: Home & Garden. Perfect for collectors and enthusiasts.,Home & Garden,814.49,2,12,/static/images/default-item.jpg
First Edition Manuscript,A beautiful first edition manuscript in excellent condition. Category: Books. Perfect for collectors and enthusiasts.,Books,4020.32,4,168,/static/images/default-item.jpg
Art Deco Silver,A beautiful art deco silver in excellent condition. Category: Antiques. Perfect for collectors and enthusiasts.,Antiques,1787.93,1,6,/static/images/default-item.jpg
Rare Novel,A beautiful rare novel in excellent condition. Category: Books. Perfect for collectors and enthusiasts.,Books,4091.89,9,24,/static/images/default-item.jpg
Handmade Lamp,A beautiful handmade lamp in excellent condition. Category: Home & Garden. Perfect for collectors and enthusiasts.,Home & Garden,2092.88,5,6,/static/images/default-item.jpg
Diamond Earrings,A beautiful diamond earrings in excellent condition. Category: Jewelry. Perfect for collectors and enthusiasts.,Jewelry,1228.19,6,6,/static/images/default-item.jpg
